﻿cnpj_analisado,vendedor_responsavel,codigo_cliente,status_receita,classificacao,prioridade_geral,score_oportunidade,score_higiene,dias_inativos,score_recencia,score_porte,porte_detectado,score_afinidade,flags_qualidade,cadastro_valido,num_divergencias,divergencias_resumo,acao_recomendada,acao_administrativa,data_consulta,web_operacao_ativa,web_link_principal,web_resumo_atuacao,razao_social,nome_fantasia,natureza_juridica,porte,capital_social,data_inicio_atividade,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,situacao_especial,data_situacao_especial,cep,logradouro,numero,complemento,bairro,municipio,uf,ddd_telefone_1,ddd_telefone_2,ddd_fax,email,cnae_fiscal,cnae_fiscal_descricao,cnaes_secundarios,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_do_simples,opcao_pelo_mei,data_opcao_pelo_mei,data_exclusao_do_mei,ente_federativo_responsavel,qsa_socios
03.086.245/xxxx-xx,Sem Vendedor,6,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,85,-1,N/D,85,ME,100,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:53:42.648Z,NÃO,,Segmento: Comércio varejista de artigos de papelaria · Local: ITATIBA/SP · Capital: R$ 15.000 · Tel RF: (11) ****-3309 · Sem e-mail na RF,IRMAOS ************************************************,,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 15.000,00",1999-04-06,BAIXADA,2021-02-25,1,,,13250***,FLORENCIO *****,***,,CENTRO *****,ITATIBA,SP,(11) ****-3309,(11) ****-7104,,,4761003,Comércio varejista de artigos de papelaria,8219901 - Fotocópias; 9511800 - Reparação e manutenção de computadores e de equipamentos periféricos,NÃO,2008-01-01,2008-01-01,NÃO,,,,M****** R**** DOS S***** (Sócio-Administrador)
61.602.991/xxxx-xx,Sem Vendedor,7,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,40,65,-1,N/D,95,EPP,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:53:42.638Z,SIM,,Segmento: Fabricação de artefatos de material plástico para outros usos não especificados anteriormente · Local: SAO PAULO/SP · Sem telefone na RF · Sem e-mail na RF,FOTOPRIME *************************,FOTOLITRON *****,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,"R$ 0,00",1989-12-18,ATIVA,2005-11-03,0,,,04297***,HERMANIA *****,***,,SAUDE *****,SAO PAULO,SP,,,,,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,"2829199 - Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios; 3092000 - Fabricação de bicicletas e triciclos não-motorizados, peças e acessórios; 3212400 - Fabricação de bijuterias e artefatos semelhantes; 3299001 - Fabricação de guarda-chuvas e similares; 3329599 - Instalação de outros equipamentos não especificados anteriormente",NÃO,2011-01-01,2012-12-31,NÃO,,,,P**** G**** DE O******* (Sócio-Administrador); R****** R******* (Sócio-Administrador)
08.594.813/xxxx-xx,Sem Vendedor,17,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,85,-1,N/D,85,ME,60,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:53:42.687Z,NÃO,,Segmento: Comércio varejista de hortifrutigranjeiros · Local: MARATAIZES/ES · Capital: R$ 50.000 · Tel RF: (28) ****-5193 · Sem e-mail na RF,J ********************************,GOOD **********,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 50.000,00",2007-01-19,BAIXADA,2021-11-16,1,,,29345***,PROJETADA *****,***,,BELO *********,MARATAIZES,ES,(28) ****-5193,,,,4724500,Comércio varejista de hortifrutigranjeiros,"4755502 - Comercio varejista de artigos de armarinho; 4761003 - Comércio varejista de artigos de papelaria; 4763601 - Comércio varejista de brinquedos e artigos recreativos; 4772500 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal; 4762800 - Comércio varejista de discos, CDs, DVDs e fitas; 4789007 - Comércio varejista de equipamentos para escritório; 4721103 - Comércio varejista de laticínios e frios; 4761001 - Comércio varejista de livros; 4744099 - Comércio varejista de materiais de construção em geral; 4712100 - Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns; 4789005 - Comércio varejista de produtos saneantes domissanitários; 4753900 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo; 4756300 - Comércio varejista especializado de instrumentos musicais e acessórios; 8219901 - Fotocópias; 5611203 - Lanchonetes, casas de chá, de sucos e similares; 4751201 - Comércio varejista especializado de equipamentos e suprimentos de informática; 1822999 - Serviços de acabamentos gráficos, exceto encadernação e plastificação",NÃO,2007-07-01,2016-12-31,NÃO,,,,J****** S**** DE S**** (Sócio); O**** R****** DE S**** (Sócio-Administrador)
01.212.198/xxxx-xx,Sem Vendedor,22,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,20,85,-1,N/D,85,ME,100,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de reposição de papelaria (cadernos, lápis, canetas) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:53:42.253Z,NÃO,,Segmento: Comércio varejista de artigos de papelaria · Local: GUARULHOS/SP · Capital: R$ 7.000 · Tel RF: (11) ****-9117 · Sem e-mail na RF,BS ************************************,BAZAR **********,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 7.000,00",1996-05-20,INAPTA,2018-12-14,63,,,07033***,PROFESSOR ***********,***,,JARDIM ******,GUARULHOS,SP,(11) ****-9117,,,,4761003,Comércio varejista de artigos de papelaria,,NÃO,2007-07-01,2008-12-31,NÃO,,,,E******** S**** S**** (Sócio); V***** B**** A***** (Sócio-Administrador)
62.406.855/xxxx-xx,Sem Vendedor,26,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,37,65,-1,N/D,85,ME,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:53:42.653Z,SIM,,Segmento: Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente · Local: SAO PAULO/SP · Capital: R$ 1.000 · Sem telefone na RF · Sem e-mail na RF,ESCRITORIO *************,,Sociedade Simples Limitada,MICRO EMPRESA,"R$ 1.000,00",1969-04-15,ATIVA,2005-11-03,0,,,03114***,PAES *********,***,,VILA ********,SAO PAULO,SP,,,,,8299799,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,8219999 - Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,SIM,2026-01-01,,NÃO,,,,A** C******* G****** A***** (Sócio); O****** G****** A***** (Sócio-Administrador); R*** A***** (Sócio)
09.366.255/xxxx-xx,Sem Vendedor,28,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,20,40,-1,N/D,85,ME,100,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de reposição de papelaria (cadernos, lápis, canetas) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:53:42.655Z,NÃO,,Segmento: Comércio varejista de artigos de papelaria · Local: SAO PAULO/SP · Capital: R$ 10.000 · Sem telefone na RF · Sem e-mail na RF,TANIA ************************,PAPELARIA ********,Empresário (Individual),MICRO EMPRESA,"R$ 10.000,00",2008-01-22,INAPTA,2021-02-26,63,,,03694***,,***,,PARQUE *********,SAO PAULO,SP,,,,,4761003,Comércio varejista de artigos de papelaria,,SIM,2008-01-22,,NÃO,,,,
01.283.771/xxxx-xx,Sem Vendedor,35,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,65,-1,N/D,85,ME,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:53:42.609Z,NÃO,,Segmento: Comércio varejista de artigos do vestuário e acessórios · Local: PROMISSAO/SP · Sem telefone na RF · Sem e-mail na RF,SAMPAIO ***************************,,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 0,00",1996-06-26,BAIXADA,2015-12-03,1,,,16370***,PEDRO *********,***,,CENTRO *****,PROMISSAO,SP,,,,,4781400,Comércio varejista de artigos do vestuário e acessórios,,NÃO,2007-07-01,2015-12-03,NÃO,,,,J****** P****** S****** (Sócio); S**** DE F***** P****** S****** (Sócio-Administrador)
06.316.933/xxxx-xx,Sem Vendedor,36,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,37,65,-1,N/D,85,ME,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:53:42.685Z,SIM,,Segmento: Comércio varejista de artigos do vestuário e acessórios · Local: SANTANA/AP · Sem telefone na RF · Sem e-mail na RF,LOJAS **************,LOJA *********,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 0,00",2004-06-21,ATIVA,,0,,,68925***,SANTANA *****,***,,COMERCIAL *****,SANTANA,AP,,,,,4781400,Comércio varejista de artigos do vestuário e acessórios,,SIM,2026-01-01,,NÃO,,,,F***** E**** P**** (Sócio-Administrador); L***** DO S****** M******* C**** (Sócio)
61.486.346/xxxx-xx,Sem Vendedor,37,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,40,85,-1,N/D,95,EPP,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:53:42.681Z,SIM,,Segmento: Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente · Local: ITAPIRA/SP · Capital: R$ 600.000 · Tel RF: (19) ****-7200 · Sem e-mail na RF,QUALITAS *****************************,,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,"R$ 600.000,00",1989-09-15,ATIVA,2005-09-24,0,,,13973***,ANESIO ******,***,,PARQUE *********,ITAPIRA,SP,(19) ****-7200,,,,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,NÃO,2012-01-01,2013-12-31,NÃO,,,,C****** C***** A***** G******* (Sócio); F***** N**** R****** S******* (Sócio); F******* N**** S******* (Sócio-Administrador); M****** N**** S******* N***** L*** (Sócio)
61.084.018/xxxx-xx,Sem Vendedor,41,ATIVA,⚪ BAIXA PRIORIDADE,BAIXA,31,85,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,Nutrição de longo prazo. Reavaliar no próximo ciclo.,,2026-06-18T23:53:42.289Z,SIM,,"Segmento: Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual · Local: SAO PAULO/SP · Capital: R$ 210.707.250 · Tel RF: (21) ****-1001 · Sem e-mail na RF",VIACAO **********,,Sociedade Anônima Fechada,DEMAIS,"R$ 210.707.250,00",1948-02-17,ATIVA,2005-11-03,0,,,02167***,NILTON ****************,***,,VL *****,SAO PAULO,SP,(21) ****-1001,,,,4922102,"Transporte rodoviário coletivo de passageiros, com itinerário fixo, interestadual","4520001 - Serviços de manutenção e reparação mecânica de veículos automotores; 4520003 - Serviços de manutenção e reparação elétrica de veículos automotores; 4520005 - Serviços de lavagem, lubrificação e polimento de veículos automotores; 4520006 - Serviços de borracharia para veículos automotores; 4922101 - Transporte rodoviário coletivo de passageiros, com itinerário fixo, intermunicipal, exceto em região metropolitana; 4929901 - Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal; 4929902 - Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional; 4930202 - Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional; 5223100 - Estacionamento de veículos; 7312200 - Agenciamento de espaços para publicidade, exceto em veículos de comunicação; 7490104 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários; 7911200 - Agências de viagens; 7912100 - Operadores turísticos; 7990200 - Serviços de reservas e outros serviços de turismo não especificados anteriormente",,,,,,,,A**** E******* H****** (Diretor); G****** N**** D***** R******** (Presidente); L*** B******* C**** L*** (Diretor)
59.302.026/xxxx-xx,Sem Vendedor,42,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,8,75,-1,N/D,65,DEMAIS,20,SEM_DATA_ULTIMA_COMPRA,NÃO,1,municipio,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de portfólio completo (papelaria, escritório, educacional) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:53:42.763Z,NÃO,,"Segmento: Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências · Local: SAO CAETANO DO SUL/SP · Tel RF: (00) ****-8000 · Sem e-mail na RF",SOCIEDADE **********************************,,Associação Privada,DEMAIS,"R$ 0,00",1967-01-02,INAPTA,2024-09-02,63,,,09530***,ESPIRITO *****,***,,SANTO *******,SAO CAETANO DO SUL,SP,(00) ****-8000,,(01) ****-5495,,8610101,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",8610102 - Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências,,,,,,,,J*** P**** DOS R*** G***** (Presidente)
43.144.880/xxxx-xx,Sem Vendedor,43,ATIVA,🔵 POTENCIAL ALTO,MEDIA,55,85,-1,N/D,65,DEMAIS,65,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,SDR: WhatsApp + catálogo digital. Destaque: kit material escolar e suprimentos para secretaria. Sem histórico de compra registrado.,,2026-06-18T23:53:42.291Z,SIM,,Segmento: Ensino médio · Local: SAO PAULO/SP · Capital: R$ 18.894.620 · Tel RF: (11) ****-3633 · Sem e-mail na RF,SOCIEDADE ************************************************************,COLEGIO ******************,Sociedade Empresária Limitada,DEMAIS,"R$ 18.894.620,00",1971-09-21,ATIVA,2005-11-03,0,,,01310***,PAULISTA *****,***,***,BELA *****,SAO PAULO,SP,(11) ****-3633,(11) ****-3649,(11) ****-3635,,8520100,Ensino médio,,,,,,,,,C****** M***** A********* (Administrador); J*** C***** DI G**** (Sócio Incapaz ou Relat.Incapaz (exceto menor)); J*** C***** DI G**** F**** (Sócio); L**** M***** DI G**** (Sócio); M***** V******* M****** (Administrador); M**** DO R****** DE T***** C****** (Administrador); M**** L**** M***** DI G**** (Sócio); S***** R***** G**** M***** (Sócio-Administrador); S***** R***** G**** M***** (Administrador)
51.473.692/xxxx-xx,Sem Vendedor,44,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,41,65,-1,N/D,65,DEMAIS,39,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:53:42.645Z,SIM,,"Segmento: Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências · Local: LIMEIRA/SP · Sem telefone na RF · Sem e-mail na RF",IRMANDADE ****************************************,SANTA *****,Associação Privada,DEMAIS,"R$ 0,00",1971-05-24,ATIVA,2005-11-03,0,,,13480***,ANTONIO ******,***,,CLAUDIA *****,LIMEIRA,SP,,,,,8610101,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",8599699 - Outras atividades de ensino não especificadas anteriormente; 8610102 - Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências; 8640210 - Serviços de quimioterapia; 8640211 - Serviços de radioterapia,,,,,,,,W***** R**** F**** (Presidente)
57.177.578/xxxx-xx,Sem Vendedor,45,INAPTA,🟣 INAPTA — REGULARIZÁVEL,BAIXA,9,55,-1,N/D,85,ME,20,SEM_DATA_ULTIMA_COMPRA,NÃO,0,,"Situação regularizável (RF). Gancho comercial: informar a pendência cadastral e oferecer suporte — retomar fornecimento de portfólio completo (papelaria, escritório, educacional) após regularização. Não faturar até normalização.",SUSPENDER FATURAMENTO até regularização,2026-06-18T23:53:42.657Z,NÃO,,"Segmento: Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas · Local: SAO PAULO/SP · Sem telefone na RF · Sem e-mail na RF",ACENAVE-INDUSTRIA ****************,,Sociedade Empresária Limitada,MICRO EMPRESA,"R$ 0,00",1987-03-09,INAPTA,2022-06-09,63,,,04781***,JACOBI ***********,***,***,VILA ********,SAO PAULO,SP,,,,,2812700,"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas",3321000 - Instalação de máquinas e equipamentos industriais,,,,,,,,
61.140.349/xxxx-xx,Sem Vendedor,47,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,85,-1,N/D,65,DEMAIS,90,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:53:42.697Z,NÃO,,Segmento: Comércio atacadista de artigos de escritório e de papelaria · Local: CAJAMAR/SP · Capital: R$ 178.584.050 · Tel RF: (11) ****-8123 · Sem e-mail na RF,BIC ***********,BIC *****,Sociedade Anônima Fechada,DEMAIS,"R$ 178.584.050,00",1966-07-14,BAIXADA,2013-01-01,2,,,07750***,OSASCO *****,***,***,CENTRO **************,CAJAMAR,SP,(11) ****-8123,(11) ****-8139,(11) ****-8340,,4647801,Comércio atacadista de artigos de escritório e de papelaria,4649499 - Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente; 4646002 - Comércio atacadista de produtos de higiene pessoal,,,,,,,,A******** G******* A****** (Diretor); D****** G**** V***** (Diretor); E****** A******** S****** (Diretor); H****** B****** B******* P******** (Diretor)
56.578.529/xxxx-xx,Sem Vendedor,49,ATIVA,⚪ BAIXA PRIORIDADE,BAIXA,31,85,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,Nutrição de longo prazo. Reavaliar no próximo ciclo.,,2026-06-18T23:53:42.287Z,SIM,,Segmento: Fabricação de artefatos de material plástico para usos industriais · Local: OSASCO/SP · Capital: R$ 2.937.600 · Tel RF: (11) ****-7880 · Sem e-mail na RF,ENPLA ***************,LOGIPLAS *****,Sociedade Empresária Limitada,DEMAIS,"R$ 2.937.600,00",1986-11-06,ATIVA,2005-11-03,0,,,06230***,VICENTE ******************,***,,JD.PIRATININGA *****,OSASCO,SP,(11) ****-7880,(11) ****-7880,(11) ****-6530,,2229302,Fabricação de artefatos de material plástico para usos industriais,2543800 - Fabricação de ferramentas; 3314722 - Manutenção e reparação de máquinas e aparelhos para a indústria do plástico,,,,,,,,D***** B****** J**** (Sócio-Administrador); H*** J***** G**** S******* (Sócio); S****** C********* (Sócio)
61.100.145/xxxx-xx,Sem Vendedor,50,ATIVA,⚪ BAIXA PRIORIDADE,BAIXA,31,85,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,Nutrição de longo prazo. Reavaliar no próximo ciclo.,,2026-06-18T23:53:42.286Z,SIM,,Segmento: Sociedade seguradora de seguros não vida · Local: SAO PAULO/SP · Capital: R$ 311.199.140 · Tel RF: (11) ****-3875 · Sem e-mail na RF,INDIANA ***********,,Sociedade Anônima Fechada,DEMAIS,"R$ 311.199.140,00",1966-07-14,ATIVA,2005-11-03,0,,,04571***,DR *************************,***,***,BROOKLIN *****,SAO PAULO,SP,(11) ****-3875,(11) ****-4374,(11) ****-1638,,6512000,Sociedade seguradora de seguros não vida,6511101 - Sociedade seguradora de seguros vida,,,,,,,,E****** S********* DAL RI (Presidente); F***** V***** P****** (Administrador); K**** F***** DE A***** S******* (Diretor); M***** M****** (Diretor); R******* A***** L**** (Diretor); R****** DO N********* (Administrador)
03.665.223/xxxx-xx,Sem Vendedor,52,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,40,-1,N/D,85,ME,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:53:42.720Z,NÃO,,"Segmento: Lanchonetes, casas de chá, de sucos e similares · Local: SAO PAULO/SP · Sem telefone na RF · Sem e-mail na RF",REGINA ************,,Empresário (Individual),MICRO EMPRESA,"R$ 0,00",2000-02-21,BAIXADA,2019-06-07,1,,,01307***,,***,,CONSOLACAO *****,SAO PAULO,SP,,,,,5611203,"Lanchonetes, casas de chá, de sucos e similares",,NÃO,2007-07-01,2019-06-07,NÃO,,,,
61.590.410/xxxx-xx,Sem Vendedor,55,ATIVA,🟡 POTENCIAL MODERADO,MEDIA,41,65,-1,N/D,65,DEMAIS,39,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"Cadência de e-mail 30/60/90 dias. Tema: portfólio completo (papelaria, escritório, educacional).",,2026-06-18T23:53:42.659Z,SIM,,"Segmento: Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências · Local: SAO PAULO/SP · Sem telefone na RF · Sem e-mail na RF",SOCIEDADE ************************************************,,Associação Privada,DEMAIS,"R$ 0,00",1960-01-28,ATIVA,2005-11-03,0,,,01308***,DA **********,***,,CERQUEIRA *****,SAO PAULO,SP,,,,,8610101,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências","7020400 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica; 7210000 - Pesquisa e desenvolvimento experimental em ciências físicas e naturais; 8230001 - Serviços de organização de feiras, congressos, exposições e festas; 8531700 - Educação superior - graduação; 8532500 - Educação superior - graduação e pós-graduação; 8599699 - Outras atividades de ensino não especificadas anteriormente; 8610102 - Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências; 8630501 - Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos; 8630502 - Atividade médica ambulatorial com recursos para realização de exames complementares; 8630504 - Atividade odontológica; 8630506 - Serviços de vacinação e imunização humana; 8630507 - Atividades de reprodução humana assistida; 8630599 - Atividades de atenção ambulatorial não especificadas anteriormente; 8640201 - Laboratórios de anatomia patológica e citológica; 8640202 - Laboratórios clínicos; 8640203 - Serviços de diálise e nefrologia; 8640204 - Serviços de tomografia; 8640205 - Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia; 8640206 - Serviços de ressonância magnética; 8640207 - Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética; 8640208 - Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos; 8640209 - Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos; 8640210 - Serviços de quimioterapia; 8640211 - Serviços de radioterapia; 8640212 - Serviços de hemoterapia; 8640213 - Serviços de litotripcia; 8640214 - Serviços de bancos de células e tecidos humanos; 8640299 - Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente; 8650001 - Atividades de enfermagem; 8660700 - Atividades de apoio à gestão de saúde; 8690999 - Outras atividades de atenção à saúde humana não especificadas anteriormente; 8800600 - Serviços de assistência social sem alojamento",,,,,,,,D***** A**** DA S**** J**** (Presidente)
54.001.771/xxxx-xx,Sem Vendedor,56,ATIVA,🔵 POTENCIAL ALTO,MEDIA,59,65,-1,N/D,95,EPP,54,DATA_ULTIMA_COMPRA_ILEGIVEL,SIM,0,,"SDR: WhatsApp + catálogo digital. Destaque: portfólio completo (papelaria, escritório, educacional). Sem histórico de compra registrado.",,2026-06-18T23:53:42.688Z,SIM,,"Segmento: Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material · Local: SAO PAULO/SP · Sem telefone na RF · Sem e-mail na RF",FIVEBRAS ***********************,,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,"R$ 0,00",1984-11-28,ATIVA,2005-11-03,0,,,01520***,JERONIMO **************,***,,CAMBUCI *****,SAO PAULO,SP,,,,,1521100,"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material","2229399 - Fabricação de artefatos de material plástico para outros usos não especificados anteriormente; 4643502 - Comércio atacadista de bolsas, malas e artigos de viagem; 4647801 - Comércio atacadista de artigos de escritório e de papelaria",,,,,,,,A****** M****** (Sócio-Administrador); I**** M****** (Sócio); J****** M****** (Sócio-Administrador); M******* M****** (Sócio)
62.362.629/xxxx-xx,Sem Vendedor,57,ATIVA,⚪ BAIXA PRIORIDADE,BAIXA,31,75,-1,N/D,65,DEMAIS,20,DATA_ULTIMA_COMPRA_ILEGIVEL,NÃO,1,municipio,Nutrição de longo prazo. Reavaliar no próximo ciclo.,,2026-06-18T23:53:42.778Z,SIM,,Segmento: Fabricação de artefatos de material plástico para outros usos não especificados anteriormente · Local: OSASCO/SP · Capital: R$ 130.000 · Tel RF: (01) ****-3538 · Sem e-mail na RF,ALPICPLAST *************************,,Sociedade Empresária Limitada,DEMAIS,"R$ 130.000,00",1969-07-29,ATIVA,2005-05-14,0,,,06230***,MONTALVERNE *****,***,,JARDIM ***********,OSASCO,SP,(01) ****-3538,,(01) ****-3538,,2229399,Fabricação de artefatos de material plástico para outros usos não especificados anteriormente,"3292202 - Fabricação de equipamentos e acessórios para segurança pessoal e profissional; 3299003 - Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos",,,,,,,,A*** R**** VAZ (Sócio-Administrador); A****** B**** (Sócio-Administrador)
58.368.176/xxxx-xx,Sem Vendedor,58,BAIXADA,🔴 DESCARTE / ARQUIVO,DESCARTE,0,55,-1,N/D,65,DEMAIS,20,SEM_DATA_ULTIMA_COMPRA,NÃO,0,,Arquivar. Cruzar QSA: sócio pode ter reaberto em novo CNPJ.,BLOQUEAR CADASTRO — Empresa BAIXADA,2026-06-18T23:53:42.803Z,NÃO,,Segmento: Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica · Local: SAO PAULO/SP · Sem telefone na RF · Sem e-mail na RF,APPRI ***********************************************,,Sociedade Empresária Limitada,DEMAIS,"R$ 0,00",1987-12-01,BAIXADA,2015-02-09,73,,,03204***,IGUARA *****,***,,VILA ******,SAO PAULO,SP,,,,,2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,3321000 - Instalação de máquinas e equipamentos industriais,,,,,,,,
